Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,TBD_Flag,Outlier_Flag,User_Score_Norm,Critic_User_Diff,Percentage_of_Releases,Mean_UserCritic_Score
FIFA Soccer 13,Wii,2012.0,Action,Electronic Arts,0.18,0.44,0.0,0.07,0.69,-1.0,-1.0,1.6,21.0,Electronic Arts,E,False,True,16.0,-16.0,15.873015873015872,8.0
MotionSports,Xbox 360,2010.0,Sports,Ubisoft,0.38,0.25,0.0,0.06,0.69,40.0,30.0,4.4,9.0,Ubisoft Milan,T,False,False,44.0,-4.0,25.268817204301076,42.0
Dragon Ball Z: Budokai,Game Cube,2003.0,Fighting,Atari,0.53,0.14,0.0,0.02,0.69,65.0,16.0,6.3,15.0,Pyramid,T,False,False,63.0,2.0,34.88,64.0
NFL Xtreme,Playstation,1998.0,Sports,Sony Computer Entertainment,0.38,0.26,0.0,0.05,0.69,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,90.58823529411765,0.0
Need for Speed (2015),Xbox One,2015.0,Racing,Electronic Arts,0.3,0.33,0.0,0.06,0.69,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,36.60933660933661,0.0
Plants vs. Zombies: Garden Warfare,Xbox One,2014.0,Shooter,Electronic Arts,0.39,0.23,0.0,0.06,0.69,76.0,65.0,7.4,438.0,PopCap,E10+,False,False,74.0,2.0,16.879795396419436,75.0
Need for Speed Rivals,Xbox One,2013.0,Racing,Electronic Arts,0.46,0.17,0.0,0.07,0.69,75.0,18.0,5.8,175.0,Ghost Games,E10+,False,False,58.0,17.0,14.939024390243901,66.5
Harry Potter and the Chamber of Secrets,Game Cube,2002.0,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,77.0,14.0,8.3,27.0,Eurocom Entertainment Software,E,False,False,83.0,-6.0,39.144215530903324,80.0
Prince of Persia: The Forgotten Sands,Playstation 3,2010.0,Action,Ubisoft,0.19,0.36,0.01,0.12,0.69,75.0,49.0,7.6,120.0,Ubisoft Montreal,T,False,True,76.0,-1.0,25.268817204301076,75.5
X-Men Origins: Wolverine - Uncaged Edition,Xbox 360,2009.0,Action,Activision,0.42,0.21,0.0,0.06,0.69,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,22.2737819025522,0.0
The Lord of the Rings: The Return of the King,Game Cube,2003.0,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,84.0,23.0,8.5,21.0,Hypnos Entertainment,T,False,False,85.0,-1.0,34.88,84.5
The Sims: Medieval,PC,2011.0,Simulation,Electronic Arts,0.28,0.32,0.0,0.09,0.69,77.0,56.0,6.1,173.0,The Sims Studio,T,False,True,61.0,16.0,23.943661971830984,69.0
Top Spin 4,Playstation 3,2011.0,Sports,Take-Two Interactive,0.17,0.39,0.0,0.13,0.69,82.0,37.0,7.7,55.0,2K Czech,E,False,True,77.0,5.0,18.30985915492958,79.5
Shrek the Third,Xbox 360,2007.0,Action,Activision,0.54,0.09,0.0,0.06,0.68,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,26.24633431085044,0.0
Baldur's Gate: Dark Alliance II,Playstation 2,2004.0,Role-Playing,Interplay,0.34,0.26,0.0,0.09,0.68,78.0,44.0,8.7,54.0,Black Isle Studios,T,False,False,87.0,-9.0,36.247723132969035,82.5
IL-2 Sturmovik: Birds of Prey,Playstation 3,2009.0,Simulation,505 Games,0.34,0.25,0.0,0.1,0.68,81.0,28.0,7.3,20.0,Gaijin Entertainment,T,False,False,73.0,8.0,24.245939675174014,77.0
Test Drive Unlimited 2,Xbox 360,1995.0,Racing,Atari,0.3,0.31,0.0,0.07,0.68,68.0,61.0,6.4,87.0,Eden,T,False,True,64.0,4.0,27.56756756756757,66.0
Star Wars: Masters of Teras Kasi,Playstation,1997.0,Action,LucasArts,0.38,0.26,0.0,0.04,0.68,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,92.18106995884774,0.0
NBA Street Vol. 2,Xbox,2003.0,Sports,Electronic Arts,0.62,0.04,0.0,0.02,0.68,89.0,22.0,8.8,24.0,Electronic Arts,E,False,True,88.0,1.0,32.800000000000004,88.5
Minecraft,WiiU,2016.0,Misc,Microsoft Game Studios,0.28,0.17,0.18,0.04,0.68,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,32.61455525606469,0.0
MX vs. ATV Untamed,Xbox 360,2007.0,Racing,THQ,0.55,0.08,0.0,0.06,0.68,70.0,43.0,7.1,17.0,Rainbow Studios,E,False,False,71.0,-1.0,26.392961876832842,70.5
The Last Remnant,Xbox 360,2008.0,Role-Playing,Square Enix,0.25,0.2,0.18,0.06,0.68,66.0,49.0,6.9,122.0,Square Enix,M,False,True,69.0,-3.0,10.778443113772456,67.5
NCAA Football 2005,Xbox,2004.0,Sports,Electronic Arts,0.63,0.02,0.0,0.03,0.68,89.0,29.0,8.0,12.0,EA Sports,E,False,True,80.0,9.0,30.965391621129324,84.5
Mortal Kombat Mythologies: Sub-Zero,Playstation,1997.0,Fighting,GT Interactive,0.38,0.26,0.0,0.04,0.68,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,92.18106995884774,0.0
The Sly Collection,Playstation 3,2010.0,Platform,Sony Computer Entertainment,0.52,0.08,0.01,0.08,0.68,85.0,46.0,8.8,172.0,Sanzaru Games,E10+,False,False,88.0,-3.0,12.096774193548388,86.5
Naruto: Clash of Ninja,Game Cube,2003.0,Fighting,Tomy Corporation,0.53,0.14,0.0,0.02,0.68,72.0,21.0,8.1,20.0,Tomy Corporation,T,False,False,81.0,-9.0,34.88,76.5
Sniper Elite 3,Playstation 4,2014.0,Shooter,505 Games,0.24,0.34,0.0,0.11,0.68,67.0,41.0,7.1,178.0,Rebellion,M,False,True,71.0,-4.0,26.598465473145783,69.0
Prince of Persia: The Two Thrones,Playstation 2,2005.0,Action,Ubisoft,0.57,0.02,0.0,0.09,0.68,85.0,46.0,8.5,111.0,Ubisoft Montreal,M,False,False,85.0,0.0,21.658206429780034,85.0
Mercenaries: Playground of Destruction,Xbox,2005.0,Action,LucasArts,0.54,0.11,0.0,0.03,0.68,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,16.920473773265652,0.0
Bushido Blade 2,Playstation,1998.0,Fighting,SquareSoft,0.25,0.17,0.22,0.04,0.68,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,90.58823529411765,0.0
Suikoden II,Playstation,1998.0,Role-Playing,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.68,82.0,8.0,8.4,162.0,Konami,T,False,True,84.0,-2.0,4.411764705882353,83.0
Iron Man,Playstation 3,2008.0,Action,Sega,0.32,0.25,0.0,0.11,0.68,42.0,27.0,6.2,45.0,Secret Level,T,False,False,62.0,-20.0,23.47305389221557,52.0
FIFA Soccer 06,Xbox,2005.0,Sports,Electronic Arts,0.29,0.38,0.0,0.01,0.68,80.0,39.0,7.5,22.0,EA Canada,E,False,True,75.0,5.0,18.781725888324875,77.5
Fight Night 2004,Xbox,2004.0,Fighting,Electronic Arts,0.51,0.15,0.0,0.02,0.68,85.0,47.0,8.7,20.0,EA Sports,T,False,False,87.0,-2.0,36.247723132969035,86.0
Tourist Trophy: The Real Riding Simulator,Playstation 2,2006.0,Racing,Sony Computer Entertainment,0.28,0.22,0.11,0.07,0.68,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,29.462738301559792,0.0
.hack//Mutation Part 2,Playstation 2,2002.0,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,76.0,24.0,8.9,81.0,CyberConnect2,T,False,True,89.0,-13.0,33.12202852614897,82.5
Wolfenstein: The New Order,Xbox One,2014.0,Shooter,Bethesda Softworks,0.34,0.28,0.0,0.06,0.68,79.0,18.0,7.8,397.0,MachineGames,M,False,True,78.0,1.0,26.598465473145783,78.5
Midway Arcade Treasures 2,Playstation 2,2004.0,Misc,Midway Games,0.33,0.26,0.0,0.09,0.68,74.0,28.0,0.0,-1.0,Backbone Entertainment,M,True,False,0.0,74.0,18.0327868852459,37.0
Kirby's Dream Collection: Special Edition,Wii,2012.0,Action,Nintendo,0.33,0.0,0.33,0.02,0.67,82.0,6.0,8.8,37.0,HAL Labs,E10+,False,True,88.0,-6.0,8.73015873015873,85.0
Return to Castle Wolfenstein: Tides of War,Xbox,2003.0,Shooter,Activision,0.49,0.16,0.0,0.02,0.67,84.0,38.0,8.8,33.0,Nerve Software,M,False,False,88.0,-4.0,12.959999999999999,86.0
RIFT,PC,2011.0,Role-Playing,Unknown,0.44,0.16,0.0,0.07,0.67,84.0,59.0,7.3,561.0,Trion Worlds,T,False,False,73.0,11.0,23.943661971830984,78.5
Spider-Man 3,Playstation 3,2007.0,Platform,Activision,0.26,0.29,0.02,0.11,0.67,60.0,33.0,7.0,40.0,Treyarch,T,False,True,70.0,-10.0,23.313782991202345,65.0
Street Sk8er,Playstation,1998.0,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.67,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,90.58823529411765,0.0
Mass Effect,PC,2008.0,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.08,0.67,89.0,45.0,8.6,2386.0,"BioWare, Demiurge Studios",M,False,True,86.0,3.0,10.778443113772456,87.5
Contra: Legacy of War,Playstation,1996.0,Shooter,Konami Digital Entertainment,0.37,0.25,0.0,0.04,0.67,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,96.23655913978494,0.0
Fight Night Round 2004,Xbox,2004.0,Fighting,Electronic Arts,0.46,0.18,0.0,0.03,0.67,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,13.843351548269581,0.0
Book of Spells,Playstation 3,2012.0,Action,Sony Computer Entertainment,0.14,0.39,0.0,0.15,0.67,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,27.77777777777778,0.0
Spice World,Playstation,1998.0,Action,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.67,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,90.58823529411765,0.0
The Evil Within,Xbox One,2014.0,Action,Bethesda Softworks,0.35,0.25,0.0,0.06,0.67,79.0,24.0,7.3,430.0,Tango Gameworks,M,False,False,73.0,6.0,26.598465473145783,76.0
Armored Core 3,Playstation 2,2002.0,Simulation,Metro 3D,0.22,0.17,0.23,0.06,0.67,74.0,23.0,9.0,33.0,From Software,T,False,True,90.0,-16.0,33.12202852614897,82.0
Star Wars: Republic Commando,Xbox,2005.0,Shooter,Activision,0.48,0.17,0.0,0.02,0.67,78.0,54.0,8.9,89.0,LucasArts,T,False,False,89.0,-11.0,30.79526226734349,83.5
Taiko no Tatsujin Wii,Wii,2008.0,Misc,Namco Bandai Games,0.0,0.0,0.67,0.0,0.67,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,25.868263473053894,0.0
London 2012: The Official Video Game of the Olympic Games,Playstation 3,2012.0,Sports,Sega,0.06,0.48,0.0,0.14,0.67,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,27.77777777777778,0.0
The LEGO Movie Videogame,Playstation 4,2014.0,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,71.0,31.0,7.1,98.0,TT Games,E10+,False,True,71.0,0.0,16.879795396419436,71.0
Turok,Playstation 3,2008.0,Action,Touchstone,0.35,0.21,0.01,0.1,0.67,67.0,38.0,6.0,39.0,Propaganda Games,M,False,False,60.0,7.0,10.778443113772456,63.5
Wild ARMs 2,Playstation,1999.0,Role-Playing,Sony Computer Entertainment,0.19,0.13,0.31,0.04,0.67,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,86.9969040247678,0.0
Terraria,Xbox 360,2013.0,Action,505 Games,0.35,0.27,0.0,0.06,0.67,81.0,39.0,7.2,139.0,Engine Software,T,False,False,72.0,9.0,14.939024390243901,76.5
Red Steel,Wii,2006.0,Shooter,Ubisoft,0.54,0.03,0.04,0.05,0.67,63.0,54.0,6.8,121.0,Ubisoft Paris,T,False,False,68.0,-5.0,26.16984402079723,65.5
Summer Sports: Paradise Island (Others sales),Wii,2008.0,Sports,Ubisoft,0.0,0.66,0.0,0.01,0.67,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,25.868263473053894,0.0
Need for Speed: Shift 2 Unleashed,Playstation 3,2011.0,Racing,Electronic Arts,0.2,0.35,0.0,0.12,0.67,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,26.76056338028169,0.0
The Fairly Odd Parents: Breakin Da Rules,Playstation 2,2003.0,Platform,THQ,0.33,0.25,0.0,0.09,0.67,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,19.36,0.0
Unreal Tournament III,Playstation 3,2007.0,Shooter,Midway Games,0.33,0.23,0.0,0.1,0.67,86.0,42.0,7.7,127.0,Epic Games,M,False,False,77.0,9.0,10.557184750733137,81.5
Disney Tangled,Wii,2010.0,Action,Disney Interactive Studios,0.46,0.16,0.0,0.05,0.67,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,24.731182795698924,0.0
Command & Conquer: Red Alert 3,PC,2008.0,Strategy,Electronic Arts,0.01,0.64,0.0,0.02,0.67,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,25.868263473053894,0.0
Pro Pinball: Big Race USA,Playstation,1999.0,Simulation,Take-Two Interactive,0.37,0.25,0.0,0.04,0.66,69.0,4.0,0.0,-1.0,Cunning Developments,E,True,False,0.0,69.0,6.191950464396285,34.5
NFL Street,Xbox,2004.0,Sports,Electronic Arts,0.49,0.15,0.0,0.02,0.66,81.0,38.0,8.8,9.0,EA Tiburon,E,False,False,88.0,-7.0,30.965391621129324,84.5
Bakugan: Battle Brawlers,Wii,2009.0,Action,Activision,0.59,0.03,0.0,0.05,0.66,62.0,12.0,7.2,11.0,Now Production,E,False,False,72.0,-10.0,25.290023201856147,67.0
Blazing Angels: Squadrons of WWII,Playstation 3,2006.0,Simulation,Ubisoft,0.35,0.22,0.0,0.1,0.66,67.0,26.0,6.9,9.0,Ubisoft,T,False,False,69.0,-2.0,26.16984402079723,68.0
Skylanders: Trap Team,Playstation 3,2014.0,Action,Activision,0.26,0.3,0.0,0.11,0.66,-1.0,-1.0,7.0,5.0,Toys for Bob,E10+,False,True,70.0,-70.0,16.879795396419436,35.0
F1 2015,Playstation 4,2015.0,Racing,Codemasters,0.09,0.45,0.03,0.1,0.66,65.0,46.0,6.3,43.0,Codemasters,E,False,True,63.0,2.0,17.936117936117938,64.0
Tony Hawk's Proving Ground,Playstation 2,2007.0,Sports,Activision,0.55,0.02,0.0,0.09,0.66,65.0,6.0,6.6,17.0,Page 44 Studios,T,False,False,66.0,-1.0,23.313782991202345,65.5
The Darkness,Playstation 3,2007.0,Shooter,Take-Two Interactive,0.2,0.33,0.0,0.13,0.66,80.0,35.0,7.7,107.0,Starbreeze,M,False,True,77.0,3.0,10.557184750733137,78.5
Country Dance,Wii,2011.0,Misc,Funbox Media,0.58,0.04,0.0,0.05,0.66,-1.0,-1.0,0.0,-1.0,High Voltage Software,E10+,True,True,0.0,0.0,14.084507042253522,0.0
MLB 2004,Playstation 2,2003.0,Sports,Sony Computer Entertainment,0.32,0.25,0.0,0.08,0.66,61.0,21.0,7.9,9.0,989 Sports,E,False,False,79.0,-18.0,32.800000000000004,70.0
Naruto Shippuden: Ultimate Ninja 4,Playstation 2,2007.0,Fighting,Atari,0.26,0.01,0.13,0.26,0.66,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,26.24633431085044,0.0
The Sims 3: High-End Loft Stuff,PC,2010.0,Simulation,Electronic Arts,0.01,0.54,0.0,0.11,0.66,-1.0,-1.0,6.5,17.0,The Sims Studio,T,False,True,65.0,-65.0,25.268817204301076,32.5
Tiger Woods PGA Tour 2000,Playstation,1998.0,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.66,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,90.58823529411765,0.0
Darkstone,Playstation,2001.0,Role-Playing,Electronic Arts,0.37,0.25,0.0,0.04,0.66,58.0,10.0,8.3,12.0,Delphine Software International,T,False,False,83.0,-25.0,28.37465564738292,70.5
NCAA March Madness 2003,Playstation 2,2002.0,Sports,Electronic Arts,0.32,0.25,0.0,0.08,0.66,74.0,13.0,8.0,27.0,NuFX,E,False,False,80.0,-6.0,39.144215530903324,77.0
Diablo III,Xbox One,2014.0,Role-Playing,Activision,0.36,0.24,0.0,0.06,0.66,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,29.15601023017903,0.0
Finding Nemo,Xbox,2003.0,Action,THQ,0.48,0.16,0.0,0.02,0.66,63.0,11.0,0.0,-1.0,Traveller's Tales,E,True,False,0.0,63.0,32.800000000000004,31.5
Thrillville,Playstation 2,2006.0,Strategy,Atari,0.55,0.02,0.0,0.09,0.66,69.0,32.0,2.9,52.0,Frontier Developments,E10+,False,False,29.0,40.0,13.864818024263432,49.0
Jikkyou World Soccer 2000 Final Edition,Playstation 2,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.66,0.0,0.66,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,55.15151515151515,0.0
Madagascar,Game Cube,2005.0,Platform,Activision,0.52,0.13,0.0,0.02,0.66,70.0,21.0,0.0,-1.0,Toys for Bob,E10+,True,False,0.0,70.0,11.336717428087987,35.0
Castlevania: Lords of Shadow,Xbox 360,2010.0,Action,Konami Digital Entertainment,0.42,0.17,0.01,0.05,0.66,83.0,70.0,7.8,237.0,Mercury Steam,M,False,False,78.0,5.0,11.827956989247312,80.5
NHL 10,Xbox 360,2009.0,Sports,Electronic Arts,0.51,0.1,0.0,0.06,0.66,88.0,52.0,8.4,71.0,EA Canada,E10+,False,False,84.0,4.0,15.4292343387471,86.0
Puzzler Brain Games,Wii,2012.0,Puzzle,Namco Bandai Games,0.0,0.0,0.66,0.0,0.66,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,27.77777777777778,0.0
TV Show King Party,Wii,2008.0,Puzzle,Ubisoft,0.18,0.4,0.0,0.08,0.66,-1.0,-1.0,0.0,-1.0,Gameloft,T,True,True,0.0,0.0,23.47305389221557,0.0
Street Fighter Anniversary Collection,Playstation 2,2004.0,Fighting,Capcom,0.32,0.25,0.0,0.08,0.66,78.0,30.0,8.7,20.0,Capcom,T,False,False,87.0,-9.0,36.247723132969035,82.5
Legend of Legaia,Playstation,1998.0,Role-Playing,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.66,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,90.58823529411765,0.0
NHL 13,Xbox 360,2012.0,Sports,Electronic Arts,0.51,0.1,0.0,0.05,0.66,83.0,44.0,6.6,86.0,Electronic Arts,E10+,False,False,66.0,17.0,8.73015873015873,74.5
Napoleon: Total War,PC,2010.0,Strategy,Sega,0.02,0.53,0.0,0.12,0.66,81.0,56.0,7.9,515.0,Creative Assembly,T,False,True,79.0,2.0,25.268817204301076,80.0
Metro: Last Light,Playstation 4,2014.0,Action,Deep Silver,0.22,0.3,0.04,0.1,0.66,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,29.15601023017903,0.0
Rayman Legends,WiiU,2013.0,Platform,Ubisoft,0.25,0.33,0.03,0.05,0.66,92.0,35.0,8.7,465.0,Ubisoft Montpellier,E10+,False,True,87.0,5.0,14.939024390243901,89.5
The Sims: Bustin' Out,Game Cube,2003.0,Simulation,Electronic Arts,0.43,0.2,0.0,0.03,0.66,81.0,30.0,9.0,15.0,Maxis,T,False,False,90.0,-9.0,34.88,85.5
BioShock Infinite,PC,2013.0,Shooter,Take-Two Interactive,0.29,0.3,0.0,0.07,0.66,94.0,68.0,8.5,7322.0,Irrational Games,M,False,True,85.0,9.0,28.353658536585364,89.5
Lollipop Chainsaw,Playstation 3,2012.0,Action,Warner Bros. Interactive Entertainment,0.27,0.2,0.11,0.08,0.66,67.0,37.0,7.1,199.0,Grasshopper Manufacture,M,False,True,71.0,-4.0,31.746031746031743,69.0
Tom Clancy's EndWar,Playstation 3,2008.0,Strategy,Ubisoft,0.33,0.22,0.01,0.1,0.66,76.0,33.0,6.6,42.0,Ubisoft Shanghai,T,False,False,66.0,10.0,23.47305389221557,71.0
Suikoden IV,Playstation 2,2004.0,Role-Playing,Konami Digital Entertainment,0.17,0.13,0.3,0.05,0.66,63.0,44.0,7.3,47.0,KCET,T,False,True,73.0,-10.0,36.247723132969035,68.0
Fist of the North Star: Ken's Rage,Playstation 3,2010.0,Action,Ubisoft Annecy,0.06,0.03,0.55,0.01,0.66,60.0,30.0,6.9,29.0,"Koei, Omega Force",M,False,True,69.0,-9.0,11.827956989247312,64.5
Plants vs. Zombies: Garden Warfare,Playstation 3,2014.0,Shooter,Electronic Arts,0.22,0.32,0.01,0.11,0.66,-1.0,-1.0,7.8,24.0,PopCap,E10+,False,True,78.0,-78.0,16.879795396419436,39.0
One Piece: Pirate Warriors 2,Playstation 3,2013.0,Action,Namco Bandai Games,0.0,0.19,0.42,0.05,0.66,71.0,35.0,7.8,61.0,Omega Force,T,False,True,78.0,-7.0,14.939024390243901,74.5
Um Jammer Lammy,Playstation,1998.0,Misc,Sony Computer Entertainment,0.12,0.08,0.41,0.04,0.66,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,90.58823529411765,0.0
Brothers In Arms: Road to Hill 30,Xbox,2005.0,Shooter,Ubisoft,0.49,0.14,0.0,0.02,0.66,88.0,64.0,8.0,69.0,Gearbox Software,M,False,False,80.0,8.0,21.658206429780034,84.0
Animaniacs Ten Pin Alley,Playstation,1998.0,Sports,ASC Games,0.36,0.25,0.0,0.04,0.66,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,90.58823529411765,0.0
LEGO Jurassic World,Xbox One,2015.0,Action,Warner Bros. Interactive Entertainment,0.38,0.22,0.0,0.06,0.65,70.0,17.0,6.7,44.0,TT Games,E10+,False,False,67.0,3.0,8.5995085995086,68.5
Kung Fu Panda,Playstation 2,2008.0,Action,Activision,0.24,0.0,0.0,0.41,0.65,73.0,6.0,8.6,5.0,Xpec,E10+,False,False,86.0,-13.0,14.131736526946106,79.5
Rocksmith 2014,PC,2013.0,Misc,Ubisoft,0.36,0.24,0.0,0.06,0.65,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,23.47560975609756,0.0
Ratchet & Clank: Into the Nexus,Playstation 3,2013.0,Shooter,Sony Computer Entertainment,0.3,0.25,0.0,0.1,0.65,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,23.47560975609756,0.0
Shaun White Snowboarding,Playstation 3,2008.0,Sports,Ubisoft,0.31,0.23,0.01,0.1,0.65,63.0,30.0,6.3,26.0,Ubisoft Montreal,T,False,False,63.0,0.0,23.47305389221557,63.0
Radiata Stories,Playstation 2,2005.0,Role-Playing,Square Enix,0.18,0.14,0.29,0.05,0.65,74.0,36.0,9.0,54.0,Tri-Ace,T,False,True,90.0,-16.0,30.79526226734349,82.0
The Biggest Loser: Challenge,Wii,2010.0,Sports,THQ,0.48,0.12,0.0,0.05,0.65,-1.0,-1.0,0.0,-1.0,Blitz Games Studios,E,True,True,0.0,0.0,25.537634408602152,0.0
F-Zero GX,Game Cube,2003.0,Racing,Nintendo,0.41,0.11,0.12,0.02,0.65,89.0,50.0,8.5,161.0,Amusement Vision,T,False,True,85.0,4.0,34.88,87.0
Disney's Chicken Little,Playstation 2,2005.0,Platform,Disney Interactive Studios,0.32,0.25,0.0,0.08,0.65,60.0,20.0,8.9,7.0,Avalanche Software,E10+,False,False,89.0,-29.0,11.336717428087987,74.5
Scene It? Box Office Smash,Xbox 360,2008.0,Misc,Microsoft Game Studios,0.33,0.25,0.0,0.07,0.65,76.0,32.0,7.4,25.0,"Krome Studios, Screenlife Games",T,False,False,74.0,2.0,23.47305389221557,75.0
Monster Jam: Maximum Destruction,Playstation 2,2002.0,Racing,Ubisoft,0.32,0.25,0.0,0.08,0.65,47.0,11.0,6.0,6.0,Ubisoft,T,False,False,60.0,-13.0,33.12202852614897,53.5
Tiger Woods PGA Tour 09,Playstation 3,2008.0,Sports,Electronic Arts,0.34,0.22,0.0,0.1,0.65,82.0,34.0,7.2,9.0,EA Tiburon,E,False,False,72.0,10.0,25.748502994011975,77.0
World of Dragon Warrior - Torneko: The Last Hope,Playstation,1999.0,Role-Playing,Enix Corporation,0.02,0.01,0.58,0.04,0.65,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,86.9969040247678,0.0
Tiger Woods PGA Tour 09,Xbox 360,2008.0,Sports,Electronic Arts,0.35,0.23,0.0,0.07,0.65,84.0,41.0,7.8,29.0,EA Tiburon,E,False,False,78.0,6.0,25.748502994011975,81.0
Centipede,Playstation,1998.0,Shooter,Atari,0.36,0.25,0.0,0.04,0.65,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,90.58823529411765,0.0
The Last Story,Wii,2011.0,Role-Playing,Nintendo,0.3,0.13,0.18,0.04,0.65,80.0,61.0,8.4,179.0,"Mistwalker, Artoon",T,False,True,84.0,-4.0,23.943661971830984,82.0
Drakengard,Playstation 2,2003.0,Role-Playing,Square Enix,0.19,0.15,0.26,0.05,0.65,63.0,55.0,9.1,88.0,Cavia Inc.,M,False,True,91.0,-28.0,12.959999999999999,77.0
SingStar Pop Hits,Playstation 2,2007.0,Misc,Sony Computer Entertainment,0.0,0.5,0.0,0.15,0.65,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,26.24633431085044,0.0
Champions: Return to Arms,Playstation 2,2005.0,Role-Playing,Sony Online Entertainment,0.32,0.25,0.0,0.08,0.65,77.0,48.0,8.8,43.0,Snowblind Studios,T,False,False,88.0,-11.0,30.79526226734349,82.5
Harry Potter and the Goblet of Fire,Playstation 2,2005.0,Action,Electronic Arts,0.54,0.02,0.0,0.09,0.65,68.0,29.0,6.7,48.0,Electronic Arts,E10+,False,False,67.0,1.0,11.336717428087987,67.5
SingStar R&B,Playstation 2,2007.0,Misc,Sony Computer Entertainment,0.0,0.05,0.0,0.6,0.65,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,26.24633431085044,0.0
Mary-Kate and Ashley: Magical Mystery Mall,Playstation,2000.0,Adventure,Acclaim Entertainment,0.36,0.24,0.0,0.04,0.65,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,55.15151515151515,0.0
Disney Infinity 2.0: Marvel Super Heroes,WiiU,2014.0,Action,Disney Interactive Studios,0.37,0.22,0.0,0.06,0.65,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,29.15601023017903,0.0
Tiger Woods PGA Tour 10,Xbox 360,2009.0,Sports,Electronic Arts,0.39,0.2,0.0,0.06,0.65,80.0,51.0,6.9,20.0,EA Tiburon,E,False,False,69.0,11.0,25.290023201856147,74.5
